State / UT,Main hazards,Examples of high‑risk districts / cities
Kerala,"Extreme rainfall, floods, landslides, dual flood–drought","Alappuzha listed as very high risk for both flood and drought; landslide‑prone hill districts such as Idukki, Wayanad, and parts of Kollam, Ernakulam; multiple coastal districts marked highly vulnerable in NICRA list.deccanherald+2"
Jharkhand,"Drought, local floods","Palamau identified as a drought pocket; districts like Garhwa, Godda, Sahibganj, Pakur and West Singhbhum listed as “very high” climate‑vulnerable; some eastern districts face flood risk along Ganga tributaries.geographynotes+2"
Chhattisgarh,"Drought, localized floods","Jashpur, Raigarh, Korba, Mahasamund, Kanker and other districts categorized as vulnerable to climate‑driven drought and hydro‑meteorological hazards.pib.gov+1"
Haryana,"Drought, heat, occasional floods","Fatehabad, Bhiwani, Mahendragarh listed as very high vulnerability districts; several others (Kaithal, Jind, Sirsa, Hisar, Rohtak etc.) in high‑vulnerability category for climate‑risk.pib.gov+1"
Punjab,"Drought, groundwater stress, some flood risk","Gurdaspur, Jalandhar, Moga, Faridkot, Bathinda and others are identified as vulnerable in NICRA’s climate‑risk categorization, with issues of water stress and changing rainfall.pib.gov+1"
Jammu & Kashmir / Ladakh,"Earthquakes, landslides, floods, cold‑wave hazards","High seismic and landslide risk in districts like Srinagar, Baramulla, Anantnag; Leh and Kargil (Ladakh) marked highly vulnerable; flood‑prone pockets along Jhelum and other rivers.pib.gov+2"
Himachal Pradesh,"Earthquakes, landslides, extreme rainfall","Chamba and Mandi listed as very high vulnerability districts; Kangra, Kullu, Hamirpur, Bilaspur, Shimla, Kinnaur also highly vulnerable to combined earthquake–landslide–flood risks.pib.gov+2"
Uttarakhand,"Earthquakes, landslides, flash floods","Rudraprayag, Pithoragarh, Chamoli, Uttarkashi mapped as the most sensitive districts for earthquakes and landslides; Uttarkashi, Tehri Garhwal, Bageshwar, Almora, Champawat also in very high vulnerability lists.indiatoday+2"
Sikkim,"Earthquakes, landslides, heavy rainfall","North, West, East and South Sikkim districts classified as very‑high or high vulnerability; Gangtok and other hill towns are in high seismic and landslide risk zones.pib.gov+2"
Arunachal Pradesh,"Earthquakes, landslides, flash floods","Upper Siang (very high vulnerability) and districts like Lower Subansiri, Tawang, West & East Siang, Lohit, Dibang Valley listed as highly vulnerable in climate‑risk and landslide assessments.pib.gov+2"
"Nagaland, Manipur, Mizoram, Meghalaya, Tripura (NE hill states)","Earthquakes, landslides, floods","Hill districts across these states (e.g., Senapati, Churachandpur, Ukhrul, Chandel; various Garo/Khasi/Jaintia Hills; Lawngtlai, Saiha, Aizawl, Champhai etc.) are categorized as high vulnerability for earthquakes, landslides and heavy rainfall‑driven floods.pib.gov+2"
Andaman & Nicobar Islands,"Earthquakes, tsunamis, cyclones",Port Blair and neighbouring islands fall in India’s highest seismic zone and are exposed to tsunamis and cyclones from the Bay of Bengal.pib.gov+2
Goa,"Coastal floods, heavy rainfall, erosion","Coastal districts are noted in hazard maps for extreme rainfall, localized flooding and shoreline erosion, though overall vulnerability is lower compared to major flood/drought belts.geoportal.natmo.gov+1"
Andhra Pradesh,Multiple,Anantapur; East Godavari (Coastal mandals); Krishna (Krishna delta mandals); Kurnool; Nellore coastal mandals; Srikakulam; Visakhapatnam; Kadapa
Assam,Multiple,Darrang/Udalguri (Noa-Mangaldai Basin); Golaghat; Jorhat; Kamrup (Guwahati); Morigaon
Bihar,Multiple,East Champaran; Gopalganj; Muzaffarpur (Gaighat); Sheohar; Siwan; Supaul; West Champaran (Bettiah)
Gujarat,Multiple,Devbhoomi Dwarka; Gir Somnath; Jamnagar; Kutch; Morbi; Porbandar; Rajkot
Himachal Pradesh,Multiple,Chamba; Kangra; Kinnaur; Kullu; Mandi; Shimla
Jammu & Kashmir / Ladakh,Multiple,Baramulla; Doda; Kargil; Kishtwar; Kupwara; Leh; Ramban; Srinagar
Karnataka,Multiple,Bagalkote; Belagavi; Bengaluru Urban; Chikkamagaluru; Dakshina Kannada; Kodagu; Raichur; Uttara Kannada; Vijayapura
Kerala,Multiple,Ernakulam; Idukki; Kollam; Kottayam; Kozhikode; Malappuram; Thiruvananthapuram; Wayanad
Maharashtra,Multiple,Beed; Buldhana; Mumbai; Nandurbar; Nashik; Pune; Raigad; Ratnagiri
Odisha,Multiple,Cuttack; Dhenkanal; Gajapati; Ganjam; Jagatsinghpur; Kendrapara
Rajasthan,Multiple,Barmer; Bikaner; Jaisalmer
Tamil Nadu,Multiple,Cuddalore; Kancheepuram; Kanyakumari; Nagapattinam; Pudukkottai; Ramanathapuram; Thanjavur; Thoothukudi; Villupuram
Uttar Pradesh,Multiple,Balrampur; Bijnor; Gonda; Gorakhpur; Kushinagar; Lakhimpur Kheri; Moradabad; Saharanpur; Shravasti
Uttarakhand,Multiple,Bageshwar; Chamoli; Pithoragarh; Rudraprayag; Tehri Garhwal; Uttarkashi
West Bengal,Multiple,Darjeeling; Jalpaiguri; Kalimpong; North 24 Parganas; Purba Medinipur; South 24 Parganas
